action.abort,Cancella
label.firstname,Nome
label.first_and_lastname,"Nome e Cognome"
label.fiscal_code,"Codice fiscale"
label.free,Libero
label.from,da
label.fully_booked,Ausgebucht
label.here,qui
label.home,Home
label.image_gallery,"Galleria d'immagini"
label.info,Info
label.invoice_address,"Indirizzo di fatturazione"
label.invoice_num,Rechnungsnr.
label.lang,Lingua
label.lastname,Cognome
label.legal_indication,"Informazioni legali"
label.location,Localitá
label.location_description,Ortsbeschreibung
label.login,Login
label.login_success,"Erfolgreich angemeldet"
label.logout_success,"Erfolgreich abgemeldet"
label.maintenance_text,"Aus Wartungsgründen ist die Seite momentan nicht erreichbar.
Bitte versuchen Sie es in Kürze nochmal."
label.maintenance_title,"Seite ist momentan
nicht verfügbar"
label.man,Signor
label.mandatory,"Campi obbligatori"
label.message,"Note generali"
label.more_about,"saperne di piú"
label.more_images,"ulteriori immagini"
label.my_account,"Mein Konto"
label.name,Nome
label.newsletter,Newsletter
label.next_slide,"prossimo slide"
label.no,No
label.offer,Offerta
label.ok,Ok
label.optional,optional
label.order,Prenotazione
label.order_now,"Compra ora"
label.other_links,"ulteriori link"
label.overview,Übersicht
label.page,Pagina
label.participant,Teilnehmer
label.password,Password
label.password_forgotten,"Password dimenticata?"
label.payment_method,Zahlungsmethode
label.period,Periodo
label.person,persona
label.personal_data,"Persönliche Daten"
label.persons,Persone
label.phone,Telefono
label.phone_short,Tel.
label.place,Posizione
label.postal,ZIP
label.prev_slide,"slide precedente"
label.price,Prezzo
label.privacy,Privacy
label.privacy_policy,"Trattamento dei dati personali"
label.product,Prodotto
label.products,Prodotti
label.published_on,"Veröffentlicht am"
label.pwd_reset_done,"Ihr Passwort wurde erfolgreich zurückgesetzt.
Sie erhalten nun eine Email mit dem neuen Passwort.
Bitte kontrollieren Sie Ihr Postfach"
label.registration,Registrazione
label.request,Richiesta
label.residence,Wohnort
label.room_count,"Numero camere"
label.salutation,Titolo
label.search,Ricerca
label.search_result,"Risultato ricerca"
label.shipping,Spedizione
label.shipping_address,"Indirizzo di spedizione"
label.single_price,Einzelpreis
label.siteinfo,"Copyright &copy;2017 ###company.name_short### ###company.region###
Produced by {{kreatif-link}}Kreatif{{kreatif-link}}"
label.starting_at_short,da
label.start_page,Startseite
label.status,Status
label.street,Via
label.subject,Oggetto
label.submit,Inviare
label.submit_success,"Richiesta inviata con successo"
label.subtotal,Subtotale
label.tags,Schlagwörter
label.target_group,Zielgruppe
label.tax_included,"IVA incl."
label.this_article_is_offline,"Dieser Artikel ist offline und für normale User nicht erreichbar!"
label.this_lang_is_offline,"Diese Sprache ist offline und für normale User nicht erreichbar!"
label.this_object_is_offline,"Dieses Objekt ist offline und für normale User nicht erreichbar! {{be-obj-link}}Ändern{{be-obj-link}}"
label.time_of_day,Uhrzeit
label.to,a
label.tos,"Allgemeine Geschäftsbedingungen"
label.tos_short,AGBs
label.total,Totale
label.total_sum,Totale
label.units,Einheiten
label.username,Utente
label.vat_short,"Part. IVA"
label.video,Video
label.visit_on_facebook,"Besuchen Sie uns auf Facebook"
label.warning,Avviso
label.website,Sito
label.weekday,Wochentag
label.wished_arrival,"Data di arrivo"
label.wished_departure,"Data di partenza"
label.wished_room,"Tipologia di camera"
label.woman,Signora
label.women,Signora
label.yes,Si
privacy.accept_agbs,"Ich akzeptiere die {{agb-link}}Allgemeinen Geschäftsbedingungen{{agb-link}}."
privacy.accept_cop,"Ich akzeptiere die {{cop-link}}Teilnahmebedingungen{{cop-link}}."
privacy.accept_tos,"Acconsento al {{privacy-link}}trattamento dei miei dati personali Privacy{{privacy-link}}."
action.choose,Selezionare
label.where,Dove
label.when,Quando
label.newsletter_displayed_incorrect,"Se questa newsletter non viene visualizzata correttamente, cliccate"
label.newsletter_unsubscribe_text,"Se non desideri più di ricevere la nostra newsletter è possibile disdire in qualsiasi momento, basta cliccare"
action.choose_file,"Selezionare file"
